h: n            x            y(proton  ),hh0l  n  y(photon  ),hh0dr n  y(neutron ),hh0mb n  
#  e-lower      e-upper        number    r.err      number    r.err      number    r.err 
   1.2589E+02   1.3964E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   5.5986E-07  0.1151
   1.3964E+02   1.5488E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   3.7018E-07  0.1213
   1.5488E+02   1.7179E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   2.6239E-07  0.1195
   1.7179E+02   1.9055E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7589E-07  0.1190
   1.9055E+02   2.1135E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2470E-07  0.1154
   2.1135E+02   2.3442E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   7.7807E-08  0.1147
   2.3442E+02   2.6002E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   5.2763E-08  0.1104
   2.6002E+02   2.8840E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   2.9028E-08  0.1181
   2.8840E+02   3.1989E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7763E-08  0.1160
   3.1989E+02   3.5481E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0261E-08  0.1132
   3.5481E+02   3.9355E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   5.7730E-09  0.1110
   3.9355E+02   4.3652E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   3.4995E-09  0.1082
   4.3652E+02   4.8417E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2007E-09  0.1236
   4.8417E+02   5.3703E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   6.7346E-10  0.1183
   5.3703E+02   5.9566E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   2.8035E-10  0.1192
