h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   3.6308E+01   4.7863E+01   2.2000E-02  0.2108   2.3000E-02  0.2061   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E+01   6.3096E+01   3.7000E-02  0.1613   3.6000E-02  0.1636   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E+01   8.3176E+01   5.1000E-02  0.1364   5.2000E-02  0.1350   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E+01   1.0965E+02   4.3000E-02  0.1492   4.1000E-02  0.1529   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E+02   1.4454E+02   3.1000E-02  0.1768   3.1000E-02  0.1768   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E+02   1.9055E+02   1.5000E-02  0.2563   1.5000E-02  0.2563   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9055E+02   2.5119E+02   1.0000E-03  0.9995   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E+02   3.3113E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E+02   4.3652E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E+02   5.7544E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
