[ T - C r o s s ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    5            # number of crossing regions
   2.5119E+00   2.8184E+00   5.8611E-08  0.0219
   2.8184E+00   3.1623E+00   5.2526E-08  0.0215
   3.1623E+00   3.5481E+00   4.9337E-08  0.0213
   3.5481E+00   3.9811E+00   4.2319E-08  0.0216
   3.9811E+00   4.4668E+00   4.1175E-08  0.0208
   4.4668E+00   5.0119E+00   3.5581E-08  0.0208
   5.0119E+00   5.6234E+00   3.1580E-08  0.0210
   5.6234E+00   6.3096E+00   2.8002E-08  0.0214
   6.3096E+00   7.0795E+00   2.5439E-08  0.0207
   7.0795E+00   7.9433E+00   2.2176E-08  0.0213
   7.9433E+00   8.9125E+00   2.0252E-08  0.0207
   8.9125E+00   1.0000E+01   1.7667E-08  0.0219
   1.0000E+01   1.1220E+01   1.6070E-08  0.0209
   1.1220E+01   1.2589E+01   1.4236E-08  0.0214
   1.2589E+01   1.4125E+01   1.1665E-08  0.0217
   1.4125E+01   1.5849E+01   1.0237E-08  0.0220
   1.5849E+01   1.7783E+01   9.3668E-09  0.0219
   1.7783E+01   1.9953E+01   8.0475E-09  0.0220
   1.9953E+01   2.2387E+01   7.1396E-09  0.0226
   2.2387E+01   2.5119E+01   6.2175E-09  0.0237
   2.5119E+01   2.8184E+01   5.8717E-09  0.0222
   2.8184E+01   3.1623E+01   5.3378E-09  0.0220
   3.1623E+01   3.5481E+01   4.8473E-09  0.0218
   3.5481E+01   3.9811E+01   4.4336E-09  0.0217
   3.9811E+01   4.4668E+01   3.8727E-09  0.0216
   4.4668E+01   5.0119E+01   3.3844E-09  0.0218
   5.0119E+01   5.6234E+01   3.3369E-09  0.0206
   5.6234E+01   6.3096E+01   3.0429E-09  0.0204
   6.3096E+01   7.0795E+01   2.6041E-09  0.0212
   7.0795E+01   7.9433E+01   2.5646E-09  0.0201
   7.9433E+01   8.9125E+01   2.2870E-09  0.0196
   8.9125E+01   1.0000E+02   2.0260E-09  0.0198
   1.0000E+02   1.1220E+02   1.8385E-09  0.0195
   1.1220E+02   1.2589E+02   1.6938E-09  0.0191
   1.2589E+02   1.4125E+02   1.5823E-09  0.0189
   1.4125E+02   1.5849E+02   1.4103E-09  0.0209
   1.5849E+02   1.7783E+02   1.3103E-09  0.0182
   1.7783E+02   1.9953E+02   1.2474E-09  0.0176
   1.9953E+02   2.2387E+02   1.1951E-09  0.0169
   2.2387E+02   2.5119E+02   1.0729E-09  0.0168
   2.5119E+02   2.8184E+02   1.0347E-09  0.0161
   2.8184E+02   3.1623E+02   9.6216E-10  0.0158
   3.1623E+02   3.5481E+02   8.8647E-10  0.0155
   3.5481E+02   3.9811E+02   8.2746E-10  0.0151
   3.9811E+02   4.4668E+02   7.7829E-10  0.0147
   4.4668E+02   5.0119E+02   7.5646E-10  0.0141
   5.0119E+02   5.6234E+02   7.3220E-10  0.0135
   5.6234E+02   6.3096E+02   6.6926E-10  0.0134
